yyyymmdd,RET_US,RET_DE,RET_JP,RET_BR,RET_RU,RET_IN,RET_CN,NBER_recess_indicator
6/14/1996,-0.003103986,-0.007286548,0.009010534,0.023540638,-0.011509165,0.018695566,0.009846081,0
6/17/1996,-0.001036807,-0.001063799,-0.004651706,0.029722987,0.147083099,0.004163899,-0.034983184,0
6/18/1996,-0.004671427,0.001244257,0.003509945,0.005103323,0.050822955,-0.001547333,0.054546124,0
6/19/1996,-0.000151055,0.00195941,0.000276732,-0.003003856,-0.044086162,-0.018067118,0.004924606,0
6/20/1996,0.000211471,-0.005740147,0.001117923,0.001013737,0.002449124,-4.93E-05,-0.003911215,0
6/21/1996,0.007133535,0.000173236,0.005319458,0.038754945,0.050868044,-0.017071282,0.003214334,0
6/24/1996,0.003009683,0.010308441,0.005430944,0.024269035,0.079659424,0.002928003,-0.003588204,0
6/25/1996,-0.000553341,0.002541159,-0.001968298,-0.019440218,0.046880074,-0.013180757,-0.016213775,0
6/26/1996,-0.006137152,0.00028368,0.003839826,0.023527439,0.04197823,-0.008646283,0.027151197,0
6/27/1996,0.006241862,-0.008612215,-0.005776963,-0.007349656,0.062894433,0.008063739,0.006348767,0
6/28/1996,0.003106381,0.003821628,0.00014016,-0.022527639,-0.109271927,-0.004418101,-0.002931504,0
7/1/1996,0.007797976,0.001018459,-0.002479055,0.018410205,-0.027313248,-0.011633321,-0.055574573,0
7/2/1996,-0.003364237,0.003212463,-0.005153138,0.0144015,0.052611461,-0.005693019,-0.001993103,0
7/3/1996,-0.001797907,-0.001283747,-0.000641597,0.017522311,0,-0.018145857,0.034946203,0
7/4/1996,0,0.003280004,-0.003568662,0.011917564,0.084368894,0.00444603,-0.000861491,0
7/5/1996,-0.022499896,0.002363939,-0.001058298,-0.022896602,-0.051341817,0.004491682,-3.90E-05,0
7/8/1996,-0.007481065,-0.012640079,-0.012536102,0.008284999,-0.129269101,0.005355725,0.028485821,0
7/9/1996,0.003381043,0.004357339,-0.001270694,0.023264841,-0.04617198,-0.020721095,0.013061802,0
7/10/1996,0.001998765,0.00204694,-0.005502962,-0.006696229,-0.072985916,0.002994133,0.003112076,0
7/11/1996,-0.015963711,0.003153822,0.001476442,0.009850927,-0.078286642,0.0071443,-0.035402,0
7/12/1996,0.000805041,-0.012219379,-0.008083796,0.021838612,0.024179924,-0.005016766,0.005536549,0
7/15/1996,-0.02569127,0.002461339,-0.001689087,-0.03352218,0.087891748,-0.000633822,-0.00923056,0
7/16/1996,-0.002273144,-0.032168054,-0.011227484,-0.021923982,-0.003844945,-0.00926252,0.042965289,0
7/17/1996,0.009030193,0.011032973,-0.000350591,-0.012584012,-0.058485123,0.012532953,-0.018254606,0
7/18/1996,0.014855904,0.003609542,0.006463068,-0.004176247,-0.016348468,0.006404305,0.011406376,0
7/19/1996,-0.007533433,0.005558654,-0.003355091,0.03538324,0.010908191,-0.001453118,0.047573547,0
7/22/1996,-0.007795717,-0.015108461,-0.016927701,-0.01771768,-0.020121403,0.012161767,0.032811588,0
7/23/1996,-0.01094693,-0.002957156,0.004027482,-0.01221894,-0.027452829,-0.030472817,-0.015601215,0
7/24/1996,-0.000351012,-0.011079016,-0.017541286,-0.027964278,-0.060616587,-0.01730771,0.018734997,0
7/25/1996,0.007187069,0.007002146,0.005504167,0.007458482,0.010327582,-0.004680981,-0.022962916,0
7/26/1996,0.007466078,0.002163985,0.008015874,-0.02118639,-0.000811469,-0.009717397,-0.027313038,0
7/29/1996,-0.007878097,0.003019313,-0.003223673,-0.009951336,0.040242744,-0.018810116,0.012385776,0
7/30/1996,0.006871142,-0.008238671,-0.004276753,0.038817754,-0.010779838,-0.017069995,-0.022385286,0
7/31/1996,0.007355684,0.006437072,-0.004301434,-0.00326089,-0.000591347,0.020152741,-0.017914425,0
8/1/1996,0.015613083,0.008498766,0.008140066,0.024838785,0.038044562,0.002501241,0.015775342,0
8/2/1996,0.019002332,0.005672487,0.000369287,0.013654303,0.040424573,-0.006089343,0.004570679,0
8/5/1996,-0.003417204,0.004883121,0.002443866,-0.018957237,0.044274738,-0.003868803,0.017328617,0
8/6/1996,0.00325115,0.000610699,-0.010713413,-0.018311771,-0.03496053,-0.001848234,0.01057209,0
8/7/1996,0.002683675,0.003727479,-0.010383032,0.00561155,0,0.011471381,0.005518528,0
